Gebruikersnaam;Rol;Email
NPO1;1;aanbieder@1.com
NPO3;1;aanbieder@2.com
RTL4;1;aanbieder@3.com
NET5;1;aanbieder@4.com
RTL7;1;aanbieder@5.com
RTL8;1;aanbieder@6.com
SBS9;1;aanbieder@7.com
Veronica;1;aanbieder@8.com
TV5;1;aanbieder@9.com
1;0;1
2;0;2
11;0;1
adsdfasdfasd;0;aanbieder@5.com
banaantje;0;aanbieder@5.com
123;0;123
1234;0;1234
12345;0;12354
Tjeerd;0;tjeerd@tjeerd.tjeerd
raoulio;0;raoul
Raoul;0;raoul
henk;0;12345
;0;
ferhat;0;
ferhat;0;gek
ferhat;0;12
sf;0;
sf;0;wef
34;0;
;0;34
ferhat;0;234
34;0;234
234;0;
234;0;324
ferhat;0;ferhat
fer;0;fer
